행정구,카페 수,인구파생변수,쓰레기 파생변수,,카페수 순위,인구 순위,쓰레기 순위,순위 합
송파구,1032,706846.6662,0.047388985,,4,1,13,18
강남구,1965,654205.4923,0.042529522,,1,2,15,18
강서구,986,576052.7567,0.036090289,,5,3,18,26
노원구,532,523207.46,0.046649562,,19,4,14,37
관악구,584,506007.9832,0.048559332,,15,5,12,32
서초구,1131,484422.7793,0.059300446,,3,6,5,14
강동구,678,468116.006,0.058944548,,10,7,6,23
은평구,534,465148.5804,0.056505048,,18,8,8,34
영등포구,816,440802.7426,0.032773715,,8,9,21,38
성북구,634,440050.7151,0.064675083,,13,10,4,27
구로구,538,428737.805,0.037255685,,17,11,17,45
양천구,542,426613.9737,0.049148088,,16,12,10,38
마포구,1309,414972.9425,0.036013915,,2,13,19,34
동작구,499,403552.2936,0.068970883,,20,14,3,37
중랑구,446,381550.6417,0.04874513,,22,15,11,48
광진구,710,372514.482,0.083739627,,9,16,1,26
동대문구,461,366729.8465,0.076717826,,21,17,2,40
서대문구,657,345233.9376,0.056684586,,11,18,7,36
성동구,598,328040.2377,0.052752912,,14,19,9,42
도봉구,342,308835.2271,0.022099703,,24,20,24,68
강북구,307,307903.4149,0.030377227,,25,21,23,69
용산구,652,264872.3801,0.04141816,,12,22,16,50
금천구,410,243501.038,0.034475285,,23,23,20,66
종로구,943,211291.4853,0.032574609,,6,24,22,52
중구,836,192396.2958,0.007672936,,7,25,25,57
